Name,Year
Hugo Duminil-Copin,2022
June Huh,2022
James Maynard,2022
Maryna Viazovska,2022
Caucher Birkar,2018
Alessio Figalli,2018
Peter Scholze,2018
Akshay Venkatesh,2018
Artur Avila ,2014
Manjul Bhargava,2014
Martin Hairer,2014
Maryam Mirzakhani,2014
Elon Lindenstrauss,2010
Ngô Bào Châu,2010
Stanislav Smirnov,2010
Cédric Villani,2010
Andrei Okounkov   ,2006
Grigori Perelman*,2006
Terence Tao,2006
Wendelin Werner,2006
Laurent Lafforgue ,2002
Vladimir Voevodsky,2002
Richard E. Borcherds ,1998
W. Timothy Gowers,1998
Maxim Kontsevich,1998
Curtis T. Mcmullen,1998
Jean Bourgain,1994
Pierre-Louis Lions,1994
Jean-Christophe Yoccoz,1994
Efim Zelmanov,1994
Vladimir Drinfeld,1990
Vaughan F.R. Jones,1990
Shigefumi Mori,1990
Edward Witten,1990
Simon K. Donaldson,1986
Gerd Faltings,1986
Michael H. Freedman,1986
Alain Connes,1982
William P. Thurston,1982
Shing-Tung Yau,1982
Pierre René Deligne,1978
Charles Louis Fefferman,1978
Gregori Alexandrovitch Margulis,1978
Daniel G. Quillen,1978
Enrico Bombieri,1974
David Bryant Mumford,1974
Alan Baker,1970
Heisuke Hironaka,1970
Serge Novikov,1970
John Griggs Thompson,1970
Michael Francis Atiyah,1966
Paul Joseph Cohen,1966
Alexander Grothendieck,1966
Stephen Smale,1966
Lars Hörmander,1962
John Willard Milnor,1962
Klaus Friedrich Roth,1958
René Thom,1958
Kunihiko Kodaira,1954
Jean-Pierre Serre,1954
Laurent Schwartz,1950
Atle Selberg,1950
Lars Valerian Ahlfors,1936
Jesse Douglas,1936
